producer_slug,song_id,title,segments
kairikibear,youtube_TXfJVNqaHiM,【公式】 失敗作少女／かいりきベア・MARETU feat.初音ミク,6
40mp,youtube_TXzfQ0cP1P0,【初音ミク】 恋愛裁判 Love Trial 【オリジナルMV】,8
maretu,youtube_Tu2xgl1303M,【初音ミク】　うみなおし　【オリジナル】,8
maretu,youtube_UShV3NXq00U,【初音ミク】　ファシネイター　【オリジナル】,7
inabakumori,youtube_UnIhRpIT7nc,稲葉曇『ラグトレイン』Vo. 歌愛ユキ,9
cosmo,youtube_UquPv9WpuB4,[Official] R.I.P.  Gossip Sea / cosMo@Bousou-P feat. GUMI,8
jin,youtube_UxwHkqkzm0o,Summering / じん【Official MV】,7
nayutan,youtube_VA35FGCCX0E,ナユタン星人 - エスパーエスパー (ft.初音ミク) OFFICIAL MUSIC VIDEO,6
nayutan,youtube_VyRrUt_lTGo,ナユタン星人 - リバースユニバース (ft.初音ミク) OFFICIAL MUSIC VIDEO,6
jin,youtube_WEVgkh_7_0k,じん『チルドレンレコード(Re:boot)』MV / JIN『Children Record(Re:boot)』MV,6
chinozo,youtube_WnUUSI21oMI,Goodbye Sengen (English Cover)【 Will Stetson 】「 歌ってみた グッバイ宣言 」,6
pinocchiop,youtube_X4hjLt4kiUM,シャニムニ花火 - ピノキオピー feat. 初音ミク,4
kemu,youtube_XMdIGSyFKCk,【HD】 カミサマネジマキ 【GUMIオリジナル・PV付】- KEMU VOXX,8
kairikibear,youtube_XfUao0_54yM,【公式】 ルマ／かいりきベア feat.初音ミク,6
orangestar,youtube_XogSflwXgpw,Orangestar - アスノヨゾラ哨戒班 (feat. IA) Official Video,6
pinocchiop,youtube_Xx1TnVObQ0k,PinocchioP - Love Attribute feat. Hatsune Miku,6
maretu,youtube_Y0EcKR05Ac4,【初音ミク】　マジカルドクター　【オリジナル】,8
mitchie_m,youtube_YXpZ0uRMDR0,"Hatsune Miku's Anime Virtual Live ""Vocaloid Culture"" (Mashup)",6
chinozo,youtube_YznQjwMjDKw,Chinozo 'エリート' feat.KafU,6
nayutan,youtube_ZnroCM3V7eA,ニュートンダンス - ナユタン星人 × Chinozo (初音ミク & FloweR) MV,7
40mp,youtube__-0xXtEH_y4,"Hatsune Miku: Project DIVA Future Tone - [PV] ""Time Machine"" (Romaji/English Subs)",7
40mp,youtube_aB-pIUzPB-I,【GUMI(40㍍)】 シリョクケンサ Eye Examination【オリジナル】,9
jin,youtube_aPDaFGqMX4I,じん / 夜咄ディセイブ (IA)【OFFICIAL MUSIC VIDEO】,7
pinocchiop,youtube_adE8jVLoLPo,PinocchioP - Rejected Diva feat. Hatsune Miku,7
neru,youtube_adyrPWded4M,Green Apple (feat. Akita Neru),6
jin,youtube_b2Di3kFGAUM,NEO feat. 初音ミク / じん【Official MV】,6
inabakumori,youtube_b56xjtP6Qac,稲葉曇『リレイアウター』Vo. 歌愛ユキ,7
wowaka,youtube_b_cuMcDWwsI,wowaka 『裏表ラバーズ』feat. 初音ミク / wowaka - Ura-Omote Lovers (Official Video) ft. Hatsune Miku,6
neru,youtube_beCBweooXpQ,[MMD Talkloid] Akita Neru's new Voicebank,2
mitchie_m,youtube_buRFjDSIu4o,"Mitchie M × OSTER project, Hatsune Miku - House of Songs (Maison Hatsune)",8
deco27,youtube_c56TpxfO9q0,DECO*27 - Telepathy feat. Hatsune Miku,5
deco27,youtube_c6HKcNVbByc,DECO*27 - Chimera feat. Hatsune Miku,6
kanaria,youtube_cm-l2h6GB8Q,【GUMI】KING【Kanaria】,5
chinozo,youtube_dH4b59syDYs,Schema / FloweR MV,7
chinozo,youtube_dHXC_ahjtEE,Goodbye Declaration / Chinozo,6
deco27,youtube_e1xCOsgWG0M,DECO*27 - The Vampire feat. Hatsune Miku,6
neru,youtube_eSI7RsjZy1E,Neru - Tokyo Teddy Bear ( 東京テディベア) feat. Kagamine Rin,7
deco27,youtube_eSW2LVbPThw,DECO*27 - Rabbit Hole feat. Hatsune Miku,6
kairikibear,youtube_eUDtDGh_XeM,【公式】 最愛人生ランナー／かいりきベア feat.初音ミク,5
chinozo,youtube_eVfppbSqACQ,Chinozo 'アンチユー' feat.初音ミク,7
orangestar,youtube_emrt46SRyYs,Orangestar - DAYBREAK FRONTLINE (feat. IA) Official Video,7
mimi,youtube_eurJC5ElRPE,『 Poshetto 』 / MIMI feat. KAFU,4
mimi,youtube_f6TytcA47rI,『くうになる』 / feat. 初音ミク ＆ 可不,5
maretu,youtube_fGizrX4JjPg,【初音ミク】　ビノミ　【オリジナル】,6
deco27,youtube_g0JEUPfmu9c,DECO*27 - Stuckmoth feat. Hatsune Miku,5
kanaria,youtube_g23bBGyCOmE,"identity ENGLISH COVER 【Y1L1NG , LtMasked】Kanaria",5
inabakumori,youtube_g6sYNwl1EWg,稲葉曇『ハローマリーナ』Vo. 歌愛ユキ & 初音ミク,7
nayutan,youtube_g7dvpD_zlIM,ナユタン星人 - ダンスロボットダンス (ft.初音ミク) OFFICIAL MUSIC VIDEO,7
cosmo,youtube_gX_EUiEdur8,デロデロデロデ - cosMo＠暴走P feat.初音ミク,4
chinozo,youtube_ggS02jTcGHU,Chinozo 'フリソデ' feat.FloweR,7
wowaka,youtube_gr5Csep6yFM,【Wowaka】Unknown Mother Goose - eng sub 【Hatsune Miku】,10
kemu,youtube_grdy6rLbQ-c,【HD】Dear Doppelganger【KEMU VOXX】,9
kanaria,youtube_h4HkXR3NSI4,【Kanaria】BRAIN,5
hachi,youtube_hEyvYm2YRXQ,ハチ MV「clock lock works」HACHI,9
deco27,youtube_hK82hfN_ymQ,DECO*27 - Love Words V feat. Hatsune Miku,7
wowaka,youtube_hkKoaWTjVds,wowaka 『グレーゾーンにて。』feat. 初音ミク / wowaka - In The Gray Zone. (Official Video) ft. Hatsune Miku,6
jin,youtube_i7HgXE61_N4,イライラしている！ / じん【Official MV】,6
mimi,youtube_ioW9iGDpQyw,MIMI - Delusional Elegy (feat. Hatsune Miku & KAFU),6
nayutan,youtube_jNVrwAg0xtM,【爽快に】ロケットサイダー 歌ってみた ver.Sou,6
jin,youtube_kEMLqgcxrM0,BLUE BACK / じん【Official MV】,6
chinozo,youtube_kFcha2y7utY,Chinozo 'マザーデイズ' feat.KafU,7
deco27,youtube_kbNdx0yqbZE,DECO*27 - Monitoring feat. Hatsune Miku,6
neru,youtube_kqj7b59D85Y,雑魚 / 亞北ネル,7
orangestar,youtube_kv8DDUSmtq4,[Eng Sub] Earphones and a Chorus of Cicadas [IA],9
mitchie_m,youtube_l69v6SVoE9k,"Hatsune Miku's TV show ""NEWS 39"" MV - Mitchie M",8
40mp,youtube_lI7T7fbYj0w,【初音ミク(40㍍)】 妄想スケッチ Delusion Sketch 【オリジナル】,8
pinocchiop,youtube_lMEt3RdqB9Y,DECO*27 x ピノキオピー - デビルじゃないもん feat. 初音ミク,6
mitchie_m,youtube_lWuJRRCTHrg,"Seraphim On The Ring - Mitchie M feat. Hatsune Miku, Kagamine Rin, KAITO",8
orangestar,youtube_lh9g1yNGFcs,Uz,8
cosmo,youtube_lvPRs_HC7Wg,"[Official] ANTI THE∞HOLiC / cosMo＠Bousou-P feat.  Kagamine Rin, Megurine Luka",10
pinocchiop,youtube_lw7pcm1W5tw,PinocchioP - Non-breath oblige feat. Hatsune Miku,7
mimi,youtube_m-bvW4pKT68,MIMI - Science (feat. Kasane Teto SV),6
inabakumori,youtube_mFih47l1pVI,稲葉曇『ハルノ寂寞』Vo. 弦巻マキ,6
cosmo,youtube_mRlPjF0-iIY,"[Official] Gensou Rakudo ""Fake Sister"" / cosMo＠Bousou-P feat. HATSUNE MIKU",11
kairikibear,youtube_mwnu2aP0Q8g,【公式】 マオ／かいりきベア・まふまふ feat.初音ミク,8
neru,youtube_nEJ-m6KNddI,Neru - 脱獄(Jailbreak) feat. Kagamine Rin,8
kairikibear,youtube_nOtWU5MRiTU,【公式】 ネクラチューンサーカス／かいりきベア feat.初音ミク,4
inabakumori,youtube_o14pj9CsNVY,稲葉曇『期待通り』Vo. AI音街ウナ,6
neru,youtube_o4Gh11wjpKw,"[Neru] ""Stop Nagging Me! "" english subbed (annotation) [romaji / english in description]",6
kairikibear,youtube_oRJBwaZ59fQ,【公式】 ベノム／かいりきベア feat.flower,7
chinozo,youtube_ptgj9rrZokQ,Chinozo 'シックマン'feat.Hatsune MikU,6
kairikibear,youtube_pvG05Z4J8s0,スターリースタート / かいりきベア feat. 初音ミク,6
jin,youtube_q2QfH1JqtkY,じん−アディショナルメモリー / JIN−Additional Memory,8
wowaka,youtube_q6UbH7G2dec,wowaka + 初音ミク // Unknown Mother-Goose 【DUET】wowaka tribute by sodaloid,10
hachi,youtube_qnX2CdOBcDI,"ハチ - ドーナツホール , HACHI - DONUT HOLE",7
mimi,youtube_qtuX4cHk-vE,マシュマリー / feat.初音ミク,7
kemu,youtube_rKdwNw-d3MQ,新人類 / まらしぃ×じん×堀江晶太(kemu) feat.鏡音リン（Kagamine Rin）,5
orangestar,youtube_rkaNKAvksDE,Orangestar - Surges (feat. IA & 初音ミク) Official Video,5
cosmo,youtube_ro4UeYDDAsg,[K-字幕]【cosMo＠暴走P feat. 初音ミク】 A.I 中文字幕,9
kemu,youtube_s8KBk8ZRH54,【HD】 地球最後の告白を 【GUMI】- KEMU VOXX,9
maretu,youtube_sjr-tPFADpM,【初音ミク】　脳内革命ガール　【オリジナル】,7
jin,youtube_smYLMgfCD5o,GURU / じん【Official MV】,7
maretu,youtube_spiFLc6Fdpo,【初音ミク】Execution Clap【MARETU Style Cover】,7
orangestar,youtube_t8JXBtezzOc,Orangestar - CITRUS (feat. IA & ONE) Official Video,7
orangestar,youtube_tZ995ezCAbs,【7 VOCALOID】Henceforth【VOCALOID Chorus】,8
pinocchiop,youtube_thmR2SmkeDU,PinocchioP - Super Superhero feat. Hatsune Miku,6
chinozo,youtube_tptmXIHhXG4,Chinozo  'ショットガン・ナウル' feat.FloweR,6
maretu,youtube_ttEOHrHeh5I,【初音ミク】　ぴんく　【オリジナル】,8
wowaka,youtube_uMlv9VWAxko,wowaka 『アンハッピーリフレイン』feat. 初音ミク / wowaka - Unhappy Refrain (Official Video) ft. Hatsune Miku,8
wowaka,youtube_udg1bIBUzJM,「4K 60 fps」 World's End Dancehall (ワールズエンド・ダンスホール) / wowaka | Project DIVA Arcade Future Tone,7
mimi,youtube_uoYegcqyfxE,『トリックハート』 / feat.重音テトSV,5
mitchie_m,youtube_uwwU55zBYlQ,"Hatsune Miku ""Project mirai 2"" OP song - Ageage Again [Full PV]",8
kanaria,youtube_vB8sxY_PJ_w,【GUMI】酔いどれ知らず【Kanaria】,5
wowaka,youtube_vPlFkyXY6L0,Rolling Girl (ローリンガール) feat. Hatsune Miku | Project DIVA Arcade Future Tone,6
chinozo,youtube_vcq4xyooNns,Chinozo  'アリサマ' feat. FloweR,8
nayutan,youtube_vgkPjszSSSc,ナユタン星人 - 倶楽部カシオペア (ft.初音ミク) OFFICIAL MUSIC VIDEO,7
wowaka,youtube_vnw8zURAxkU,wowaka 『ローリンガール』feat. 初音ミク / wowaka - Rollin Girl (Official Video) ft. Hatsune Miku,7
kemu,youtube_w2ySuxC2SNI,【HD】 敗北の少年 【GUMI オリジナル曲】- KEMU VOXX,8
nayutan,youtube_wCj04kwAFX8,彗星ハネムーン - ナユタン星人 ft.初音ミク OFFICIAL MUSIC VIDEO,7
mimi,youtube_wW1UjAtAZ1A,『痛いの痛いの飛んでいけっ』 / MIMI feat. saewool  (Music Video),5
orangestar,youtube_wW2tKV920Ac,Nadir,7
hachi,youtube_wjau2XZEH4A,ハチ  MV「ワンダーランドと羊の歌」HACHI / Wonderland to Hitsujinouta,10
jin,youtube_xdSAgHGAhhA,じん - NEO - VOCALOID X6 (cover),6
mitchie_m,youtube_xgO-uGH7tho,Hatsune Miku - Assassin Princess / Mitchie M [Comic Style MV],7
inabakumori,youtube_xn4qndSd3vs,稲葉曇『シンクタンク』Vo. 裏命,8
40mp,youtube_xxFkW3PCT5M,【初音ミク(40㍍)】 からくりピエロ Karakuri Pierrot【オリジナル】,10
orangestar,youtube_xzoShzMIlIM,Orangestar - 空奏列車 (feat. IA & 初音ミク) Official Video,8
mitchie_m,youtube_y3yyYYLyVzw,"Hatsune Miku, KAITO - Ohedo Julia-Night（大江戸ジュリアナイト）",8
hachi,youtube_y7fu_nNQAEQ,"ハチ - ドーナツホール 2024 , HACHI - DONUT HOLE 2024",8
kemu,youtube_y7uFVdBluns,熱風 - kemu feat. 初音ミク,7
40mp,youtube_yIQDGwyJpSo,【初音ミク(40㍍)】 トリノコシティ Torinoko City【オリジナル】,7
chinozo,youtube_yYdRXJaVEIM,Chinozo 'チーズ' feat.KafU,6
pinocchiop,youtube_ygY2qObZv24,ピノキオピー - 愛されなくても君がいる feat. 初音ミク / Because You’re Here,9
40mp,youtube_zLPZpfX5lwE,【初音ミク(40㍍)】 パラメタ 【オリジナル】,8
kairikibear,youtube_zLmopbS97aY,【公式】 アルカリレットウセイ／かいりきベア feat.初音ミク,7
mitchie_m,youtube_zkLJoFp2UAE,[Miku & Luka sing like humans] Ai Dee feat. Hatsune Miku & Megurine Luka [Official PV],10
